Name,Address,Latitude,Longitude,Zip Code,Rating,Review Count,Price,Median_household_income,Weighted Score
Blue Bottle Coffee,"22 Broad St, New York, NY 10005",40.70651,-74.01123,10005,4.3,22,,,
Blue Bottle Coffee,"396 Broadway, New York, NY 10013",40.71848,-74.00248,10013,4.1,37,$$,,
Blue Bottle Coffee - New York,"150 Greenwich St, New York, NY 10007",40.710715,-74.0123300674591,10007,4.2,175,$$,,
Blue Bottle Coffee,"408 Greenwich St, New York, NY 10013",40.72159402979819,-74.01001010391339,10013,3.4,8,,,
Blue Bottle Coffee,"101 University Pl, New York, NY 10003",40.73403,-73.99252,10003,4.1,62,$,,
Blue Bottle Coffee,"1227 Broadway, New York, NY 10001",40.74662093000475,-73.98879099999999,10001,3.9,11,,,
Blue Bottle Coffee,"1 Pennsylvania Plaza, Ste 135, New York, NY 10119",40.75118611224314,-73.99212013067196,10119,3.3,8,,,
Blue Bottle Coffee,"441 8th Ave, Ste 68, New York, NY 10001",40.75153736448017,-73.9958345980164,10001,3.7,20,,,
Blue Bottle Coffee - Grand Central Place,"60 E 42nd St, Ste 140, New York, NY 10165",40.75206014057742,-73.97885629999999,10165,3.8,54,$$,,
Blue Bottle Coffee - Hudson Yards,"20 Hudson Yards, Ste 228, New York, NY 10001",40.75311886250226,-74.00182333262649,10001,3.5,97,$$,,
Blue Bottle Coffee - Bryant Park,"54 W 40th St, New York, NY 10018",40.7530635290641,-73.984223271164,10018,4.0,331,$$,,
Blue Bottle Coffee,"54 W 40th St, New York, NY 10018",40.75308,-73.98416,10018,3.7,9,,,
Blue Bottle Coffee,"1 Rockefeller Plz, Ste N, New York, NY 10020",40.75809,-73.97901,10020,4.2,6,,,
Blue Bottle Coffee,"10 E 53rd St, New York, NY 10022",40.75961763186728,-73.97548857057086,10022,3.9,86,$$,,
Blue Bottle Coffee - Midtown North,"1345 Avenue Of The Americas, New York, NY 10105",40.763006,-73.979072,10105,4.1,20,,,
Blue Bottle Coffee - Amsterdam Ave,"279 Amsterdam Ave, New York, NY 10023",40.7793056,-73.9809228,10023,3.8,56,$$$,,
Blue Bottle Coffee - Morningside Heights,"2901 Broadway, New York, NY 10025",40.80639,-73.96542,10025,3.2,29,,,
Blue Bottle Coffee - Gramercy Park,"257 Park Ave S, New York, NY 10010",40.738591,-73.987138,10010,3.6,44,,,
Blue Bottle Coffee - New York,"1 Rockefeller Plz, Concourse level  Ste D, New York, NY 10020",40.75821442045861,-73.97869359619784,10020,3.9,55,$$,,
Blue Bottle Coffee,"22 Broad St, New York, NY 10005",40.70651,-74.01123,10005,4.3,22,,197188.0,
Blue Bottle Coffee,"396 Broadway, New York, NY 10013",40.71848,-74.00248,10013,4.1,37,$$,137572.0,
Blue Bottle Coffee - New York,"150 Greenwich St, New York, NY 10007",40.710715,-74.0123300674591,10007,4.2,175,$$,250001.0,
